,batchSize_,imgsPerSecAll_mean,imgsPerSecAll_std,experiment_max,imgsPerSecAll_max,imgsPerSecAll_min
0,1,37.64064194543125,0.3049273767764098,8_bit_mode,37.94556932220766,37.335714568654836
1,2,69.5524282210981,3.00936959342972,8_bit_mode,72.56179781452782,66.54305862766837
2,4,81.3862062483517,1.5906879633788293,8_bit_mode,82.97689421173052,79.79551828497287
3,8,89.85486206724407,0.07878337526621952,8_bit_mode,89.9336454425103,89.77607869197784
4,16,93.4017489997101,1.0430863579198193,8_bit_mode,94.44483535762991,92.35866264179027
5,32,95.9692732741035,0.4067670239473209,8_bit_mode,96.37604029805082,95.56250625015618
6,64,96.97899442953803,0.6773788954656842,8_bit_mode,97.65637332500371,96.30161553407235
